Cidade;UF;Longitude;Latitude
Lavínia;SP;-51.041172;-21.163913
Valparaíso;SP;-50.869874;-21.222929
Bastos;SP;-50.735695;-21.920984
Parapuã;SP;-50.794882;-21.779205
Iacri;SP;-50.693152;-21.857199
Rinópolis;SP;-50.723908;-21.728402
Piacatu;SP;-50.600343;-21.592142
Tupã;SP;-50.519113;-21.933528
Arco-Íris;SP;-50.466018;-21.772797
Herculândia;SP;-50.390734;-22.003802
Santópolis do Aguapeí;SP;-50.504372;-21.637574
Gabriel Monteiro;SP;-50.557321;-21.529410
Clementina;SP;-50.452476;-21.560447
Bento de Abreu;SP;-50.813959;-21.268629
Rubiácea;SP;-50.729564;-21.300568
Guararapes;SP;-50.645338;-21.254431
Bilac;SP;-50.474640;-21.403962
Birigui;SP;-50.343162;-21.291034
Araçatuba;SP;-50.440106;-21.207648
Chapadão do Sul;MS;-52.626337;-18.788035
Três Lagoas;MS;-51.700731;-20.784853
Castilho;SP;-51.488394;-20.868924
Itapura;SP;-51.506322;-20.641911
Selvíria;MS;-51.419246;-20.363733
Inocência;MS;-51.928098;-19.727716
Aporé;GO;-51.923184;-18.960729
Cassilândia;MS;-51.731309;-19.117867
Itajá;GO;-51.549514;-19.067338
Arenápolis;MT;-56.843724;-14.447159
Nortelândia;MT;-56.794516;-14.454022
São José do Rio Claro;MT;-56.721841;-13.439818
Nova Maringá;MT;-57.090769;-13.013614
Nossa Senhora do Livramento;MT;-56.343242;-15.772024
Jaciara;MT;-54.973320;-15.954778
Dom Aquino;MT;-54.922298;-15.809899
Ourinhos;SP;-49.869702;-22.979695
Campos Novos Paulista;SP;-49.998726;-22.601952
Ribeirão do Sul;SP;-49.933037;-22.789013
Echaporã;SP;-50.203787;-22.432560
Oscar Bressane;SP;-50.281118;-22.314874
Quintana;SP;-50.307028;-22.069172
Oriente;SP;-50.097105;-22.154939
Pompéia;SP;-50.175964;-22.107040
Ocauçu;SP;-49.922005;-22.437979
Lupércio;SP;-49.818019;-22.414590
Marília;SP;-49.950060;-22.217108
Vera Cruz;SP;-49.820735;-22.218308
Canitar;SP;-49.783947;-23.004014
Chavantes;SP;-49.709616;-23.036632
Ipaussu;SP;-49.627911;-23.057530
Santa Cruz do Rio Pardo;SP;-49.635444;-22.898750
São Pedro do Turvo;SP;-49.742829;-22.745286
Bernardino de Campos;SP;-49.467897;-23.016439
Carmo de Minas;MG;-45.130690;-22.120366
São João da Mata;MG;-45.929727;-21.927998
Poço Fundo;MG;-45.965750;-21.780002
Serrania;MG;-46.041701;-21.544145
Machado;MG;-45.921855;-21.677757
Carvalhópolis;MG;-45.842127;-21.773534
Turvolândia;MG;-45.785948;-21.873342
Cordislândia;MG;-45.699879;-21.789099
Paraguaçu;MG;-45.737419;-21.546507
Trajano de Morais;RJ;-42.070645;-22.062664
Sapucaia;RJ;-42.914194;-21.994867
Senador Cortes;MG;-42.942375;-21.798562
Santo Antônio do Aventureiro;MG;-42.811457;-21.760572
Maripá de Minas;MG;-42.954589;-21.697919
Argirita;MG;-42.829162;-21.608270
Carmo;RJ;-42.604636;-21.930957
Além Paraíba;MG;-42.717588;-21.879703
Volta Grande;MG;-42.537501;-21.767086
Cachoeira da Prata;MG;-44.454383;-19.520967
Inhaúma;MG;-44.393394;-19.489843
Contagem;MG;-44.053920;-19.932079
Ribeirão das Neves;MG;-44.084450;-19.762076
Sete Lagoas;MG;-44.241255;-19.456902
Capim Branco;MG;-44.130351;-19.547067
Matozinhos;MG;-44.086786;-19.554318
Prudente de Morais;MG;-44.159074;-19.474213
Caetanópolis;MG;-44.418871;-19.297075
Andradina;SP;-51.378568;-20.894761
Pereira Barreto;SP;-51.112268;-20.636767
Suzanápolis;SP;-51.026761;-20.498090
Sud Mennucci;SP;-50.923783;-20.687225
Aparecida d'Oeste;SP;-50.883506;-20.448734
Ilha Solteira;SP;-51.342552;-20.432629
Nova Canaã Paulista;SP;-50.948264;-20.383625
Santa Fé do Sul;SP;-50.931958;-20.208252
Três Fronteiras;SP;-50.890528;-20.234355
Aparecida do Taboado;MS;-51.096135;-20.087275
Rubinéia;SP;-51.007034;-20.175906
Santa Clara d'Oeste;SP;-50.949109;-20.090041
Guzolândia;SP;-50.664505;-20.646679
Dirce Reis;SP;-50.607335;-20.464207
Santo Antônio do Aracanguá;SP;-50.497979;-20.933114
Nova Castilho;SP;-50.347741;-20.761492
Auriflama;SP;-50.557190;-20.683621
General Salgado;SP;-50.363970;-20.648458
São João de Iracema;SP;-50.356069;-20.511059
Marinópolis;SP;-50.825384;-20.438900
Palmeira d'Oeste;SP;-50.763199;-20.414776
Santana da Ponte Pensa;SP;-50.801357;-20.252311
São Francisco;SP;-50.695151;-20.362291
Santa Salete;SP;-50.688717;-20.242918
Urânia;SP;-50.645498;-20.245461
Santa Rita d'Oeste;SP;-50.835781;-20.141431
Aspásia;SP;-50.728046;-20.160028
Santa Albertina;SP;-50.729713;-20.031131
Mesópolis;SP;-50.632641;-19.968351
Pontalinda;SP;-50.525754;-20.439624
Jales;SP;-50.549442;-20.267227
Vitória Brasil;SP;-50.487452;-20.195582
São João das Duas Pontes;SP;-50.379149;-20.387857
Estrela d'Oeste;SP;-50.404872;-20.287550
Paranapuã;SP;-50.588634;-20.104774
Dolcinópolis;SP;-50.514898;-20.124047
Populina;SP;-50.538035;-19.945297
Turmalina;SP;-50.479198;-20.048588
Guarani d'Oeste;SP;-50.341123;-20.074646
Ouroeste;SP;-50.376807;-20.006052
Paranaíba;MS;-51.190863;-19.674648
Carneirinho;MG;-50.689441;-19.698701
Limeira do Oeste;MG;-50.581489;-19.551212
União de Minas;MG;-50.338019;-19.529861
Paranaiguara;GO;-50.653928;-18.914055
São Simão;GO;-50.546968;-18.996030
Serranópolis;GO;-51.958637;-18.306722
Jataí;GO;-51.720424;-17.878383
Perolândia;GO;-52.064987;-17.525835
Caiapônia;GO;-51.809076;-16.953878
Itarumã;GO;-51.348516;-18.764553
Caçu;GO;-51.132798;-18.559382
Cachoeira Alta;GO;-50.943243;-18.761827
Aparecida do Rio Doce;GO;-51.151606;-18.294071
Quirinópolis;GO;-50.454698;-18.447186
Maurilândia;GO;-50.338836;-17.971859
Montividiu;GO;-51.172815;-17.443934
Rio Verde;GO;-50.919195;-17.792266
Santa Helena de Goiás;GO;-50.597664;-17.811520
Santo Antônio da Barra;GO;-50.634543;-17.558499
Acreúna;GO;-50.374903;-17.395990
Paraúna;GO;-50.448357;-16.946259
São João da Paraúna;GO;-50.409243;-16.812622
Guajará-Mirim;RO;-65.329566;-10.788927
Acrelândia;AC;-66.897166;-9.825808
Nova Mamoré;RO;-65.334596;-10.407697
Costa Marques;RO;-64.227970;-12.436715
São Francisco do Guaporé;RO;-63.567968;-12.051977
Seringueiras;RO;-63.018234;-11.805454
Campo Novo de Rondônia;RO;-63.626551;-10.571250
Buritis;RO;-63.832438;-10.194272
Monte Negro;RO;-63.289988;-10.245823
Alto Paraíso;RO;-63.318834;-9.714294
Ariquemes;RO;-63.032516;-9.905711
Candeias do Jamari;RO;-63.700502;-8.790696
Itapuã do Oeste;RO;-63.180878;-9.196871
Pimenteiras do Oeste;RO;-61.047052;-13.482271
Corumbiara;RO;-60.894732;-12.955111
Vila Bela da Santíssima Trindade;MT;-59.947256;-15.003938
Pontes e Lacerda;MT;-59.343544;-15.221868
Jauru;MT;-58.872267;-15.334170
Figueirópolis D'Oeste;MT;-58.739149;-15.443918
Comodoro;MT;-59.784751;-13.661436
Cerejeiras;RO;-60.816836;-13.186987
Cabixi;RO;-60.552032;-13.494479
Colorado do Oeste;RO;-60.545428;-13.117431
Vilhena;RO;-60.148847;-12.750183
Nova Lacerda;MT;-59.600115;-14.472726
Campos de Júlio;MT;-59.285807;-13.724224
Sapezal;MT;-58.764473;-12.989214
São Miguel do Guaporé;RO;-62.719222;-11.695270
Nova Brasilândia D'Oeste;RO;-62.312665;-11.724680
Alta Floresta D'Oeste;RO;-61.995342;-11.928325
Novo Horizonte do Oeste;RO;-61.995137;-11.696145
Mirante da Serra;RO;-62.669593;-11.028967
Nova União;RO;-62.556368;-10.906810
Governador Jorge Teixeira;RO;-62.737071;-10.610031
Alvorada D'Oeste;RO;-62.284697;-11.346271
Urupá;RO;-62.363895;-11.126123
Castanheiras;RO;-61.948228;-11.425304
Presidente Médici;RO;-61.898617;-11.168974
Teixeirópolis;RO;-62.241993;-10.905601
Ouro Preto do Oeste;RO;-62.256532;-10.716717
Ji-Paraná;RO;-61.932152;-10.877741
Alto Alegre dos Parecis;RO;-61.834979;-12.131955
Parecis;RO;-61.603225;-12.175416
Santa Luzia D'Oeste;RO;-61.777685;-11.907362
Rolim de Moura;RO;-61.771411;-11.727071
São Felipe D'Oeste;RO;-61.502623;-11.902258
Chupinguaia;RO;-60.887694;-12.561115
Primavera de Rondônia;RO;-61.315336;-11.829456
Pimenta Bueno;RO;-61.197963;-11.671959
Cacoal;RO;-61.456167;-11.434271
Ministro Andreazza;RO;-61.517437;-11.195960
Espigão D'Oeste;RO;-61.025187;-11.526574
Cacaulândia;RO;-62.904328;-10.348981
Jaru;RO;-62.478769;-10.431826
Rio Crespo;RO;-62.901127;-9.699648
Theobroma;RO;-62.353796;-10.248340
Vale do Paraíso;RO;-62.135182;-10.446543
Vale do Anari;RO;-62.187649;-9.862155
Machadinho D'Oeste;RO;-61.981801;-9.443629
Cujubim;RO;-62.584579;-9.360655
Juína;MT;-58.748314;-11.372752
Aripuanã;MT;-59.456815;-10.172262
Pauini;AM;-66.992039;-7.713109
Carauari;AM;-66.908559;-4.881605
Lábrea;AM;-64.794765;-7.264133
Canutama;AM;-64.395280;-6.525820
Humaitá;AM;-63.032743;-7.511712
Tapauá;AM;-63.180800;-5.620855
Juruá;AM;-66.071795;-3.484384
Jutaí;AM;-66.759470;-2.758144
Fonte Boa;AM;-66.094212;-2.523424
Japurá;AM;-66.929051;-1.882366
Peixoto de Azevedo;MT;-54.979376;-10.226168
Matupá;MT;-54.946670;-10.182065
Guarantã do Norte;MT;-54.912126;-9.962182
Pedra Preta;MT;-54.472180;-16.624505
São José do Povo;MT;-54.248716;-16.454946
Poxoréo;MT;-54.388276;-15.841012
Maraã;AM;-65.572995;-1.853129
Alvarães;AM;-64.800654;-3.227270
Tefé;AM;-64.719343;-3.368219
Coari;AM;-63.144091;-4.094121
Santa Isabel do Rio Negro;AM;-65.009205;-0.410824
Barcelos;AM;-62.931053;-0.983373
Manicoré;AM;-61.289483;-5.804618
Apuí;AM;-59.895956;-7.194091
Novo Aripuanã;AM;-60.373179;-5.125929
Borba;AM;-59.587380;-4.391539
Codajás;AM;-62.065787;-3.830528
Nova Olímpia;MT;-57.288613;-14.788947
Denise;MT;-57.058262;-14.732397
Campo Novo do Parecis;MT;-57.890723;-13.658735
Tangará da Serra;MT;-57.493278;-14.622910
Santo Afonso;MT;-57.009099;-14.494474
Nova Marilândia;MT;-56.969572;-14.356757
Campo Verde;MT;-55.162582;-15.544978
Alto Paraguai;MT;-56.477630;-14.513712
Diamantino;MT;-56.436599;-14.403673
Nova Mutum;MT;-56.074316;-13.837389
Tapurah;MT;-56.517821;-12.695014
Lucas do Rio Verde;MT;-55.904202;-13.058796
Planalto da Serra;MT;-54.781857;-14.651773
Nova Ubiratã;MT;-55.255558;-12.983411
Brasnorte;MT;-57.983341;-12.147402
Castanheira;MT;-58.608076;-11.125060
Porto dos Gaúchos;MT;-57.413233;-11.532999
Juara;MT;-57.524443;-11.263925
Novo Horizonte do Norte;MT;-57.348763;-11.408889
Tabaporã;MT;-56.831237;-11.300739
Juruena;MT;-58.359179;-10.317805
Cotriguaçu;MT;-58.419231;-9.856563
Nova Bandeirantes;MT;-57.864687;-9.808959
Witmarsum;SC;-49.794675;-26.927487
Dona Emma;SC;-49.726142;-26.980975
José Boiteux;SC;-49.628630;-26.956568
Lontras;SC;-49.535049;-27.168358
Ibirama;SC;-49.519314;-27.054665
Apiúna;SC;-49.388506;-27.037493
Ascurra;SC;-49.378280;-26.954821
Rodeio;SC;-49.364910;-26.924349
São José da Boa Vista;PR;-49.657667;-23.912195
Santana do Itararé;PR;-49.629314;-23.758692
Salto do Itararé;PR;-49.635384;-23.607356
Barão de Antonina;SP;-49.563366;-23.628419
Sengés;PR;-49.461568;-24.112884
Itararé;SP;-49.335215;-24.108451
Riversul;SP;-49.428965;-23.829003
Itaporanga;SP;-49.481854;-23.704273
Coronel Macedo;SP;-49.309966;-23.626143
Carlópolis;PR;-49.723486;-23.426897
Ribeirão Claro;PR;-49.759742;-23.194132
Timburi;SP;-49.609583;-23.205674
Canarana;MT;-52.270493;-13.551502
Querência;MT;-52.182102;-12.609294
Ribeirão Cascalheira;MT;-51.824421;-12.936738
Cocalinho;MT;-51.000150;-14.390339
União do Sul;MT;-54.361637;-11.530776
Marcelândia;MT;-54.437681;-11.046259
São José do Xingu;MT;-52.748589;-10.798193
Alto Boa Vista;MT;-51.388326;-11.673199
Canabrava do Norte;MT;-51.820883;-11.055561
Porto Alegre do Norte;MT;-51.635731;-10.876126
Confresa;MT;-51.569873;-10.643695
São Félix do Araguaia;MT;-50.670624;-11.614968
Luciára;MT;-50.667592;-11.221926
Vila Rica;MT;-51.118599;-10.013666
Santa Terezinha;MT;-50.513986;-10.470375
Santana do Araguaia;PA;-50.350036;-9.328099
Jacareacanga;PA;-57.754352;-6.214690
Novo Progresso;PA;-55.378591;-7.143465
Trairão;PA;-55.942859;-4.573474
Itaituba;PA;-55.992640;-4.266696
Maués;AM;-57.706731;-3.392891
Itacoatiara;AM;-58.444874;-3.138607
Silves;AM;-58.248031;-2.817480
Urucurituba;AM;-58.149637;-3.128412
Itapiranga;AM;-58.029257;-2.740810
São Sebastião do Uatumã;AM;-57.873049;-2.559147
Urucará;AM;-57.753797;-2.529364
Boa Vista do Ramos;AM;-57.587333;-2.974087
Barreirinha;AM;-57.067897;-2.798863
Parintins;AM;-56.729045;-2.637412
Faro;PA;-56.740498;-2.168047
Nhamundá;AM;-56.711151;-2.207932
Terra Santa;PA;-56.487653;-2.104435
Juruti;PA;-56.088903;-2.163472
Aveiro;PA;-55.319940;-3.608415
Rurópolis;PA;-54.909167;-4.100279
Belterra;PA;-54.937392;-2.636091
Santarém;PA;-54.699611;-2.438489
Oriximiná;PA;-55.857937;-1.759888
Óbidos;PA;-55.520812;-1.901072
Curuá;PA;-55.116842;-1.887754
Alenquer;PA;-54.738355;-1.946229
São Félix do Xingu;PA;-51.990382;-6.642535
Cumaru do Norte;PA;-50.769772;-7.810968
Bannach;PA;-50.395853;-7.347786
Tucumã;PA;-51.162613;-6.746874
Ourilândia do Norte;PA;-51.085792;-6.752905
Água Azul do Norte;PA;-50.479068;-6.790534
Placas;PA;-54.212371;-3.868131
Uruará;PA;-53.739644;-3.715189
Medicilândia;PA;-52.887480;-3.446375
Brasil Novo;PA;-52.534021;-3.297922
Monte Alegre;PA;-54.072386;-1.997679
Prainha;PA;-53.477903;-1.797999
Altamira;PA;-52.209961;-3.204065
Vitória do Xingu;PA;-52.008764;-2.879219
Senador José Porfírio;PA;-51.948701;-2.585981
Anapu;PA;-51.200264;-3.469847
Cidreira;RS;-50.233747;-30.160386
Osório;RS;-50.266713;-29.888089
Tramandaí;RS;-50.132187;-29.984140
Imbé;RS;-50.128068;-29.975269
Maquiné;RS;-50.207859;-29.679830
Três Forquilhas;RS;-50.070771;-29.538420
Xangri-lá;RS;-50.051932;-29.806493
Capão da Canoa;RS;-50.028243;-29.764242
Terra de Areia;RS;-50.064390;-29.578199
Arroio do Sal;RS;-49.889537;-29.543872
Três Cachoeiras;RS;-49.927514;-29.448661
Dom Pedro de Alcântara;RS;-49.853007;-29.363872
Cambará do Sul;RS;-50.146507;-29.047408
Praia Grande;SC;-49.952503;-29.191846
Morrinhos do Sul;RS;-49.932816;-29.357756
Mampituba;RS;-49.931105;-29.213628
São João do Sul;SC;-49.809357;-29.215415
São José dos Ausentes;RS;-50.067720;-28.747589
Timbé do Sul;SC;-49.842048;-28.828749
Torres;RS;-49.733289;-29.333438
Passo de Torres;SC;-49.722034;-29.309889
Santa Rosa do Sul;SC;-49.710944;-29.131273
Sombrio;SC;-49.632776;-29.107985
Balneário Gaivota;SC;-49.584092;-29.152720
Jacinto Machado;SC;-49.762316;-28.996094
Turvo;SC;-49.683067;-28.927169
Ermo;SC;-49.643013;-28.986869
Balneário Arroio do Silva;SC;-49.423689;-28.980644
Araranguá;SC;-49.491809;-28.935615
Maracajá;SC;-49.460546;-28.846337
Morro Grande;SC;-49.721362;-28.800570
Meleiro;SC;-49.637821;-28.824433
Bom Jardim da Serra;SC;-49.637276;-28.337666
Forquilhinha;SC;-49.478466;-28.745359
Içara;SC;-49.308654;-28.713206
Criciúma;SC;-49.372887;-28.672267
Cocal do Sul;SC;-49.333536;-28.598569
Treviso;SC;-49.463367;-28.509661
Urussanga;SC;-49.323814;-28.518049
Lauro Muller;SC;-49.403480;-28.385899
Orleans;SC;-49.298616;-28.348674
Lages;SC;-50.325862;-27.814966
Painel;SC;-50.097175;-27.923413
São Joaquim;SC;-49.945715;-28.288709
Urupema;SC;-49.872882;-27.955674
Palmeira;SC;-50.157717;-27.583013
Otacílio Costa;SC;-50.123113;-27.478917
Bocaina do Sul;SC;-49.942279;-27.745494
Agrolândia;SC;-49.822049;-27.408685
Braço do Trombudo;SC;-49.882145;-27.358578
Rio Rufino;SC;-49.775373;-27.859191
Urubici;SC;-49.592547;-28.015663
Bom Retiro;SC;-49.486994;-27.798993
Petrolândia;SC;-49.693747;-27.534630
Chapadão do Lageado;SC;-49.553879;-27.590507
Atalanta;SC;-49.778863;-27.421916
Trombudo Central;SC;-49.792953;-27.303296
Agronômica;SC;-49.707996;-27.266154
Ituporanga;SC;-49.596253;-27.410063
Aurora;SC;-49.629525;-27.309786
Alfredo Wagner;SC;-49.327346;-27.700096
Imbuia;SC;-49.421766;-27.490820
Vidal Ramos;SC;-49.359339;-27.388643
Presidente Nereu;SC;-49.388938;-27.276830
Morro da Fumaça;SC;-49.216937;-28.651117
Sangão;SC;-49.132181;-28.632638
Jaguaruna;SC;-49.029580;-28.614598
Treze de Maio;SC;-49.156535;-28.553662
Pedras Grandes;SC;-49.194910;-28.433862
São Ludgero;SC;-49.180631;-28.314375
Gravatal;SC;-49.042683;-28.320763
Tubarão;SC;-49.014371;-28.471310
Capivari de Baixo;SC;-48.963144;-28.449773
Laguna;SC;-48.777234;-28.484287
Imaruí;SC;-48.817010;-28.333938
Grão Pará;SC;-49.225194;-28.180903
Braço do Norte;SC;-49.170056;-28.268082
Armazém;SC;-49.021506;-28.244812
Rio Fortuna;SC;-49.106816;-28.124383
Santa Rosa de Lima;SC;-49.133043;-28.033124
Anitápolis;SC;-49.131633;-27.901183
São Martinho;SC;-48.986724;-28.160883
São Bonifácio;SC;-48.932608;-27.900907
Leoberto Leal;SC;-49.278865;-27.508123
Rancho Queimado;SC;-49.019145;-27.672733
Angelina;SC;-48.987867;-27.570410
Águas Mornas;SC;-48.824347;-27.696325
Santo Amaro da Imperatriz;SC;-48.781305;-27.685182
São Pedro de Alcântara;SC;-48.804768;-27.566515
Major Gercino;SC;-48.948780;-27.419236
Nova Trento;SC;-48.929836;-27.277976
Antônio Carlos;SC;-48.766007;-27.519070
São João Batista;SC;-48.847395;-27.277186
Imbituba;SC;-48.665884;-28.228367
Paulo Lopes;SC;-48.686358;-27.960698
Garopaba;SC;-48.619896;-28.018560
Palhoça;SC;-48.669661;-27.645518
São José;SC;-48.636607;-27.613577
Rio Negro;PR;-49.798230;-26.095021
Campo do Tenente;PR;-49.684364;-25.980014
Lapa;PR;-49.716777;-25.767090
Piên;PR;-49.433565;-26.096470
Agudos do Sul;PR;-49.334293;-25.989900
Quitandinha;PR;-49.497327;-25.873438
Mandirituba;PR;-49.328225;-25.777036
Balsa Nova;PR;-49.629079;-25.580370
Contenda;PR;-49.535044;-25.678811
Campo Largo;PR;-49.529026;-25.452535
Araucária;PR;-49.404748;-25.585939
Fazenda Rio Grande;PR;-49.307310;-25.662354
Campo Magro;PR;-49.450092;-25.368685
Almirante Tamandaré;PR;-49.303733;-25.318819
Itaperuçu;PR;-49.345427;-25.219260
Rio Branco do Sul;PR;-49.311546;-25.189189
Botuverá;SC;-49.068892;-27.200749
Indaial;SC;-49.235417;-26.899247
Timbó;SC;-49.269039;-26.824640
Rio dos Cedros;SC;-49.271828;-26.739777
Blumenau;SC;-49.070904;-26.915501
Guabiruba;SC;-48.980445;-27.080811
Brusque;SC;-48.910663;-27.097706
Canelinha;SC;-48.765791;-27.261609
Gaspar;SC;-48.953428;-26.933597
Ilhota;SC;-48.825116;-26.902284
Pomerode;SC;-49.178456;-26.738355
Jaraguá do Sul;SC;-49.071250;-26.485083
Corupá;SC;-49.245968;-26.424640
Schroeder;SC;-49.074041;-26.411571
Massaranduba;SC;-49.005351;-26.610868
Luiz Alves;SC;-48.932240;-26.715136
São João do Itaperiú;SC;-48.768277;-26.621276
Guaramirim;SC;-49.002628;-26.468753
Joinville;SC;-48.848675;-26.304497
Tijucas;SC;-48.632221;-27.235425
Camboriú;SC;-48.650338;-27.024078
Porto Belo;SC;-48.546865;-27.158569
Bombinhas;SC;-48.514561;-27.138245
Itapema;SC;-48.616038;-27.086070
Balneário Camboriú;SC;-48.635152;-26.992594
Itajaí;SC;-48.670475;-26.910097
Navegantes;SC;-48.654593;-26.894293
Balneário Piçarras;SC;-48.676290;-26.769304
Penha;SC;-48.646525;-26.775418
Barra Velha;SC;-48.693338;-26.636961
Araquari;SC;-48.718825;-26.375408
São Francisco do Sul;SC;-48.634372;-26.257917
Balneário Barra do Sul;SC;-48.612317;-26.459708
Campo Alegre;SC;-49.267588;-26.195027
Tijucas do Sul;PR;-49.195017;-25.931054
Garuva;SC;-48.852026;-26.029185
São José dos Pinhais;PR;-49.203097;-25.531343
Pinhais;PR;-49.192670;-25.442949
Piraquara;PR;-49.062411;-25.442171
Colombo;PR;-49.226160;-25.292487
Quatro Barras;PR;-49.076306;-25.367317
Campina Grande do Sul;PR;-49.055096;-25.304390
Bocaiúva do Sul;PR;-49.114131;-25.206591
Morretes;PR;-48.834533;-25.474365
Itapoá;SC;-48.618188;-26.115760
Guaratuba;PR;-48.575223;-25.881672
Matinhos;PR;-48.549012;-25.823655
Antonina;PR;-48.719113;-25.438597
Pontal do Paraná;PR;-48.511062;-25.673533
Paranaguá;PR;-48.522528;-25.516078
Guaraqueçaba;PR;-48.320426;-25.307056
Ponta Grossa;PR;-50.166787;-25.091622
Carambeí;PR;-50.098624;-24.915237
Castro;PR;-50.010767;-24.789086
Ventania;PR;-50.237577;-24.245820
Piraí do Sul;PR;-49.943312;-24.530637
Arapoti;PR;-49.828453;-24.154798
Jaguariaíva;PR;-49.706642;-24.243890
Doutor Ulysses;PR;-49.421931;-24.566546
Ibaiti;PR;-50.193208;-23.847822
Japira;PR;-50.142211;-23.814227
Jaboti;PR;-50.072904;-23.743502
Conselheiro Mairinck;PR;-50.170803;-23.626382
Pinhalão;PR;-50.053571;-23.798176
Tomazina;PR;-49.949948;-23.779620
Siqueira Campos;PR;-49.830416;-23.687481
Jundiaí do Sul;PR;-50.249579;-23.435671
Abatiá;PR;-50.313281;-23.304863
Santo Antônio da Platina;PR;-50.081478;-23.295889
Barra do Jacaré;PR;-50.184162;-23.116041
Guapirama;PR;-50.040699;-23.520350
Quatiguá;PR;-49.916010;-23.567056
Joaquim Távora;PR;-49.908998;-23.498654
Jacarezinho;PR;-49.973889;-23.159115
Iporanga;SP;-48.597119;-24.584718
Guapiara;SP;-48.529549;-24.189210
Itaberá;SP;-49.139987;-23.863827
Itapeva;SP;-48.876433;-23.978823
Taquarituba;SP;-49.240954;-23.530709
Itaí;SP;-49.092005;-23.421290
Arandu;SP;-49.048661;-23.138559
Avaré;SP;-48.925052;-23.106732
São Sebastião do Paraíso;MG;-46.983703;-20.916734
Capetinga;MG;-47.057141;-20.616314
Ibiraci;MG;-47.122150;-20.461058
Pratápolis;MG;-46.862402;-20.741050
Fortaleza de Minas;MG;-46.712029;-20.850765
Cambuí;MG;-46.057228;-22.611537
Bertioga;SP;-46.139586;-23.848568
Guarulhos;SP;-46.533347;-23.453758
Mairiporã;SP;-46.589695;-23.317130
Atibaia;SP;-46.556262;-23.117059
Bom Jesus dos Perdões;SP;-46.467474;-23.135579
Ferraz de Vasconcelos;SP;-46.370970;-23.541056
Poá;SP;-46.347292;-23.533285
Itaquaquecetuba;SP;-46.345724;-23.483481
Suzano;SP;-46.311181;-23.544828
Arujá;SP;-46.319983;-23.396476
Mogi das Cruzes;SP;-46.185410;-23.520820
Nazaré Paulista;SP;-46.398295;-23.174731
Santa Isabel;SP;-46.223668;-23.317194
Igaratá;SP;-46.156985;-23.203660
Conchas;SP;-48.013391;-23.015430
Anhembi;SP;-48.133595;-22.792959
Santa Maria da Serra;SP;-48.159288;-22.566088
Laranjal Paulista;SP;-47.837549;-23.050564
São Pedro;SP;-47.909579;-22.548256
Águas de São Pedro;SP;-47.873395;-22.597749
Torrinha;SP;-48.173140;-22.423721
Brotas;SP;-48.125115;-22.279476
Ribeirão Bonito;SP;-48.182041;-22.068536
Charqueada;SP;-47.775468;-22.509580
Ipeúna;SP;-47.715086;-22.435513
Itirapina;SP;-47.816594;-22.256239
Saltinho;SP;-47.675371;-22.844167
Rio das Pedras;SP;-47.604657;-22.841723
Rafard;SP;-47.531795;-23.010508
Capivari;SP;-47.507150;-22.995144
Mombuca;SP;-47.558957;-22.928541
Piracicaba;SP;-47.647612;-22.733801
Iracemápolis;SP;-47.522963;-22.583234
Elias Fausto;SP;-47.368153;-23.042822
Monte Mor;SP;-47.312182;-22.945043
Sumaré;SP;-47.272823;-22.820416
Cambará;PR;-50.075281;-23.042273
Ibirarema;SP;-50.073901;-22.818537
Palmital;SP;-50.217964;-22.785849
Platina;SP;-50.210422;-22.637142
Salto Grande;SP;-49.983134;-22.889389
Manduri;SP;-49.320164;-23.005569
Óleo;SP;-49.341924;-22.943461
Espírito Santo do Turvo;SP;-49.434119;-22.692540
Paulistânia;SP;-49.400845;-22.576831
Alvinlândia;SP;-49.762323;-22.443481
Ubirajara;SP;-49.661260;-22.527208
Gália;SP;-49.550356;-22.291846
Álvaro de Carvalho;SP;-49.719044;-22.084132
Garça;SP;-49.654596;-22.212516
Lucianópolis;SP;-49.522002;-22.429418
Fernão;SP;-49.518735;-22.360660
Duartina;SP;-49.408355;-22.414562
Cabrália Paulista;SP;-49.339337;-22.457560
Presidente Alves;SP;-49.438133;-22.099910
Avaí;SP;-49.335596;-22.151409
Queiroz;SP;-50.241461;-21.796865
Luiziânia;SP;-50.329438;-21.673748
Braúna;SP;-50.317489;-21.499039
Alto Alegre;SP;-50.167980;-21.581103
Guaimbê;SP;-49.898610;-21.909072
Getulina;SP;-49.931205;-21.796117
Promissão;SP;-49.859890;-21.535572
Glicério;SP;-50.212269;-21.381193
Coroados;SP;-50.285937;-21.352082
Penápolis;SP;-50.076855;-21.414765
Brejo Alegre;SP;-50.186076;-21.165147
Buritama;SP;-50.147494;-21.066064
Avanhandava;SP;-49.950893;-21.458416
Barbosa;SP;-49.951816;-21.265661
Zacarias;SP;-50.055222;-21.050554
Planalto;SP;-49.933034;-21.034249
Júlio Mesquita;SP;-49.787294;-22.011174
Guarantã;SP;-49.591351;-21.894195
Cafelândia;SP;-49.609213;-21.803112
Lins;SP;-49.752555;-21.671820
Guaiçara;SP;-49.801287;-21.619537
Pirajuí;SP;-49.460777;-21.998986
Uru;SP;-49.284846;-21.786641
Pongaí;SP;-49.360421;-21.739560
Sabino;SP;-49.575546;-21.459340
Ubarana;SP;-49.719765;-21.164965
José Bonifácio;SP;-49.689233;-21.055062
Adolfo;SP;-49.645128;-21.232494
